SongID,SongNumber,AlbumID,AlbumName,ArtistID,ArtistName,Duration,Tempo,TimeSignature,Title,ArtistFamiliarity,ArtistHotttnesss,Loudness,StartOfFadeOut,UserID,playCount,song
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,84ce6a9b05c928a12f052c78554ac74a88fb28b5,3,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,6280dcb18e0a8d7e5b1e578b6e1d4edea1cfb9c8,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,793a4e91553a4c61e516b66dc5bc9600a05ce1a3,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,577304f2958b48b89e6acfa490e61ac5b643703b,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,cd6f72af6795e918979be23251f5b14c642c9a00,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,95db70da9266d3ee4406b6d4d73e9594e5139dc2,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,55cff2c5ddec448a298c9fa33bc11211824518b4,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,98c864f0d3bc15b0c84d1699c0358d19934eab15,14,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,46d2228dedc44e1c281ef93e94118211c4e6bf11,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,e3e8103d0751e29693f9b03a58efa5c21acf2115,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,af2e23d1253921d95545fc5c219612582ac6320e,3,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,c175126f8f53b21aa133b86c7bacd4dce2b2c035,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,4d4b42c9ea8733cfc02f7e6bd37cd9e55ff6d8af,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,9eeb44cf374562c6d97bf3b1ca86b3698ff4d3f9,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,87b7eb659a6ab6b96f9aad0f3c7b2c88e7b58577,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,683263d7a095688c4c78696bd5afb0b3567d1472,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,1326db2c39a62ca636c7fba80e15d5738603b6aa,10,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,e39b6a0ced7a5ea340e1a0e787c2bf09a3b41a14,3,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,a7595a11913d68796c4a7d09909548efcedc2637,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,b0fdef7d0ec3248ecc14cdd2d01efe9a25e8b9f6,2,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,c238db34aaade657bce0264d17538e524d31f565,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,f08a32c3efe72f819eb44d61066a5f44a7ee699d,1,Soul Deep - The Box Tops
SOCIWDW12A8C13D406,2,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915,80bd23ede232093b72efce60706199787fe03f1f,1,Soul Deep - The Box Tops
